city,date,transportation_type,flow
Belfast,2020-03-02,driving,109.4
Belfast,2020-03-02,walking,116.16
Belfast,2020-03-02,transit,116.24
Belfast,2020-03-03,driving,118.8
Belfast,2020-03-03,walking,140.87
Belfast,2020-03-03,transit,109.56
Belfast,2020-03-04,driving,117.6
Belfast,2020-03-04,walking,134.64
Belfast,2020-03-04,transit,112.9
Belfast,2020-03-05,driving,113.9
Belfast,2020-03-05,walking,119.5
Belfast,2020-03-05,transit,109.69
Belfast,2020-03-06,driving,126.59
Belfast,2020-03-06,walking,152.5
Belfast,2020-03-06,transit,103.28
Belfast,2020-03-07,driving,122.48
Belfast,2020-03-07,walking,167.42
Belfast,2020-03-07,transit,100.27
Belfast,2020-03-08,driving,84.9
Belfast,2020-03-08,walking,98.71
Belfast,2020-03-08,transit,86.36
Belfast,2020-03-09,driving,104.87
Belfast,2020-03-09,walking,109.99
Belfast,2020-03-09,transit,93.98
Belfast,2020-03-10,driving,109.95
Belfast,2020-03-10,walking,123.14
Belfast,2020-03-10,transit,111.97
Belfast,2020-03-11,driving,106.88
Belfast,2020-03-11,walking,115.49
Belfast,2020-03-11,transit,98.13
Belfast,2020-03-12,driving,96.18
Belfast,2020-03-12,walking,106.37
Belfast,2020-03-12,transit,85.16
Belfast,2020-03-13,driving,100.57
Belfast,2020-03-13,walking,129.86
Belfast,2020-03-13,transit,82.95
Belfast,2020-03-14,driving,94.84
Belfast,2020-03-14,walking,128.67
Belfast,2020-03-14,transit,68.85
Belfast,2020-03-15,driving,64.31
Belfast,2020-03-15,walking,71.23
Belfast,2020-03-15,transit,50.74
Belfast,2020-03-16,driving,73.09
Belfast,2020-03-16,walking,75.15
Belfast,2020-03-16,transit,54.01
Belfast,2020-03-17,driving,66.11
Belfast,2020-03-17,walking,78.38
Belfast,2020-03-17,transit,42.05
Belfast,2020-03-18,driving,64.27
Belfast,2020-03-18,walking,55.19
Belfast,2020-03-18,transit,43.25
Belfast,2020-03-19,driving,64.25
